Gene	Term
PIK3CB	Reactive oxygen species
RAC1	Reactive oxygen species
PDPK1	Reactive oxygen species
AKT1	Reactive oxygen species
AKT2	Reactive oxygen species
AKT3	Reactive oxygen species
FOXO3	Reactive oxygen species
BAD	Reactive oxygen species
PTPN1	Reactive oxygen species
PTEN	Reactive oxygen species
CHUK	Reactive oxygen species
IKBKB	Reactive oxygen species
IKBKG	Reactive oxygen species
NFKBIA	Reactive oxygen species
RELA	Reactive oxygen species
NFKB1	Reactive oxygen species
PRKCD	Reactive oxygen species
PTPRJ	Reactive oxygen species
ACP1	Reactive oxygen species
PTPN11	Reactive oxygen species
SRC	Reactive oxygen species
ABL1	Reactive oxygen species
ABL2	Reactive oxygen species
PRKD1	Reactive oxygen species
PRKD3	Reactive oxygen species
PRKD2	Reactive oxygen species
PTK2	Reactive oxygen species
PLD1	Reactive oxygen species
PLD2	Reactive oxygen species
MAP3K14	Reactive oxygen species
HIF1A	Reactive oxygen species
ARNT	Reactive oxygen species
VEGFA	Reactive oxygen species
KEAP1	Reactive oxygen species
NFE2L2	Reactive oxygen species
HMOX1	Reactive oxygen species
